games_started,player_id,player_first_name,player_last_name,player_alias,game_started,team_id,team_short_name,team_three_letter_code,goal_keeper,playing_time,substitutions_in,substitutions_out,cards_yellow,cards_yellow_red,cards_red,sendings_off,offsides,fouls_against_opponent,fouls_other,fouls_hand_ball,fouls_sum,other_player_actions,goals,goalkeeper_saves,shots_at_goal_held,shots_at_goal_wide,shots_at_goal_crossbar,shots_at_goal_post,shots_at_goal_blocked,shots_at_goal_other,shots_at_goal_failed,shots_at_goal_right_leg,shots_at_goal_left_leg,shots_at_goal_head,shots_at_goal_body,shots_at_goal_no_head,shots_at_goal_sum,shots_conversion_rate,shots_at_goal_inside_box,shots_at_goal_outside_box,assists,second_assists,first_and_second_assists,passes_from_play_successful,passes_from_play_not_successful,passes_from_play_sum,passes_from_play_conversion_rate,passes_from_standards_successful,passes_from_standards_not_successful,passes_from_standards_sum,passes_from_standards_conversion_rate,passes_successful_sum,passes_not_successful_sum,passes_sum,passes_conversion_rate,crosses_from_play_successful,crosses_from_play_not_successful,crosses_from_play_sum,crosses_from_play_conversion_rate,crosses_from_standards_successful,crosses_from_standards_not_successful,crosses_from_standards_sum,crosses_from_standards_conversion_rate,crosses_successful_sum,crosses_not_successful_sum,crosses_sum,crosses_conversion_rate,passes_and_crosses_from_play_successful,passes_and_crosses_from_play_not_successful,passes_and_crosses_from_play_sum,passes_and_crosses_from_standards_successful,passes_and_crosses_from_standards_not_successful,passes_and_crosses_from_standards_sum,passes_and_crosses_successful_sum,passes_and_crosses_not_successful_sum,passes_and_crosses_sum,own_goals,own_goals_prevented,defensive_clearances,abandonments_of_ball,other_ball_actions,throw_ins,penalties_successful,penalties_not_successful,penalties_sum,penalty_conversion_rate,corner_kicks_left,corner_kicks_right,corner_kicks_sum,free_kicks_direct,free_kicks_indirect,free_kicks_sum,kickoffs_after_goal,kickoffs,ball_control_phases,tackling_games_air_won,tackling_games_air_lost,tackling_games_air_sum,game_openings_not_successful,game_openings_sum,interceptions_left,interceptions_right,interceptions_held,interceptions_fisted,interceptions_rebounded,interceptions_cross,interceptions_corner,interceptions_sum,distance_covered,maximum_speed,participations_goal,participations_goal_indirect,participations_goal_direct,assists_shot_at_goal,participations_shot_at_goal,participations_shot_at_goal_indirect,participations_shot_at_goal_direct,goal_opportunities,chances,sitters,participations_goal_opportunities,participations_chance,participations_sitter,nutmegs,shots_on_target,spectacular_plays,fouls_suffered,passes_from_open_play_short,passes_from_open_play_short_successful_ratio,passes_from_open_play_medium,passes_from_open_play_medium_successful_ratio,passes_from_open_play_long,passes_from_open_play_long_successful_ratio,xG,xG_efficiency,penalties_saved,penalties_caused,goals_plus_assists,goals_plus_first_and_second_assists,goals_conceded,shots_faced,competition_id,season,season_id,normalized_player_minutes,matches_played_scouting,matches_played_tracking,matches_played,ball_actions,game_openings_throwout,game_openings_hand,game_openings_successful,clean_sheets,clean_sheets_complete,advanced_stats.goalkeeper,advanced_stats.passes_from_open_play_successful,advanced_stats.x_pass,advanced_stats.passing_performance,advanced_stats.passing_performance_rank,advanced_stats.difficult_passes,advanced_stats.difficult_passes_successful_ratio,advanced_stats.difficult_passes_share,advanced_stats.saves,advanced_stats.x_saves,advanced_stats.keeper_efficiency,advanced_stats.player_pressure_count,advanced_stats.player_pressure_count_rank,advanced_stats.average_pressure,advanced_stats.escape_rate,advanced_stats.escape_rate_rank,advanced_stats.pressure_resistance_ratio,advanced_stats.pressure_resistance_efficiency,advanced_stats.passes_under_pressure_successful_ratio,xg_rankings.season.slug,xg_rankings.season.opta_id,xg_rankings.season.sportec_id,xg_rankings.season.competition_sportec_id,xg_rankings.season.competition_opta_id,xg_rankings.season.competition_id,xg_rankings.season.name,xg_rankings.last5matches.rank,xg_rankings.last5matches.absolute,xg_rankings.last5matches.x_goals,xg_rankings.last5matches.goals
0,MLS-OBJ-000396,Lionel,Messi,NA,26,MLS-CLU-000008,Miami,MIA,FALSE,44:42:42,2,0,3,0,0,0,6,7,0,2,9,2,29,0,42,28,1,3,52,2,128,17,136,4,0,153,157,0.18,83,74,16,3,19,1049,246,1295,0.81,60,21,81,0.74,1109,267,1376,0.81,2,7,9,0.22,7,34,41,0.17,9,41,50,0.18,1051,253,1304,67,55,129,1118,308,1433,0,0,1,1,242,7,1,1,2,0.5,13,51,64,70,0,70,3,5,1834,4,5,9,0,0,0,0,0,0,0,0,0,0,194395.68,30.96,49,5,44,76,255,39,216,131,118,13,213,0,25,5,71,1,35,524,87.98,670,79.4,101,55.45,20.346800000000002,8.6532,0,0,45,48,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,2420,0,28,28,1867,0,0,0,0,0,FALSE,1047,981.65,65.35,6,489,0.61,0.38,0,0,0,910,2,0.56,0.57,372,0.22,92.97,0.83,NA,NA,NA,NA,NA,NA,NA,549,-0.94,5.94,5
0,MLS-OBJ-0000CX,Denis,Bouanga,NA,29,MLS-CLU-000001,LAFC,LAFC,FALSE,48:37:16,2,8,4,0,0,0,16,49,0,2,51,0,24,0,46,40,0,1,36,3,126,122,26,2,0,148,150,0.16,98,52,7,2,9,625,176,801,0.78,38,15,53,0.72,663,191,854,0.78,6,35,41,0.15,8,50,58,0.14,14,85,99,0.14,631,211,842,46,65,129,677,276,971,0,0,9,0,375,18,7,1,8,0.88,44,16,60,46,0,46,7,17,1505,16,33,49,0,0,0,0,0,0,0,0,0,0,314433.45,35.56,37,6,31,52,226,29,197,134,112,22,198,0,28,9,73,6,33,331,81.87,444,75.23,26,76.92,21.9162,2.0838,0,1,31,33,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,2657,0,31,31,1543,0,0,0,0,0,FALSE,625,602.96,22.04,88,320,0.54,0.4,0,0,0,762,4,0.6,0.43,685,-0.07,-23.9,0.75,NA,NA,NA,NA,NA,NA,NA,2,2.74,4.26,7
0,MLS-OBJ-0003DI,Sam,Surridge,NA,33,MLS-CLU-000009,Nashville,NSH,FALSE,53:34:49,1,8,2,0,0,0,29,37,1,4,42,1,24,0,32,25,2,3,18,6,86,55,18,37,0,73,110,0.22,105,5,3,2,5,372,149,521,0.71,6,1,7,0.86,378,150,528,0.72,5,4,9,0.56,0,0,0,0,5,4,9,0.56,377,153,530,6,1,18,383,154,548,0,0,13,0,252,11,5,1,6,0.83,0,0,0,6,0,6,1,1,923,93,100,193,0,0,0,0,0,0,0,0,0,0,357213.29,34.8,30,4,26,29,151,19,132,100,79,21,134,0,26,2,56,2,45,199,80.9,300,66,22,59.09,25.5338,-1.5338,0,0,27,29,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,2940,0,34,34,929,0,0,0,0,0,FALSE,372,374.6,-2.6,660,232,0.48,0.45,0,0,0,382,67,0.58,0.49,586,0.02,4.18,0.72,NA,NA,NA,NA,NA,NA,NA,536,-0.85,5.85,5
0,MLS-OBJ-00081N,Anders,Dreyer,NA,34,MLS-CLU-000065,San Diego,SD,FALSE,56:04:22,0,6,4,0,0,0,19,8,0,2,10,0,19,0,28,26,0,2,25,5,86,16,88,1,0,104,105,0.18,66,39,17,2,19,1070,240,1310,0.82,60,31,91,0.66,1130,271,1401,0.81,10,27,37,0.27,18,56,74,0.24,28,83,111,0.25,1080,267,1347,78,87,184,1158,354,1531,0,0,1,0,178,19,3,1,4,0.75,23,65,88,74,1,75,3,5,1815,1,2,3,0,0,0,0,0,0,0,0,0,0,386497.75,33.53,38,3,35,82,206,29,177,92,76,16,179,0,26,4,47,3,20,533,89.12,692,80.2,85,47.06,17.598,1.402,0,0,36,38,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,3022,0,34,34,1821,0,0,0,0,0,FALSE,1070,1052.58,17.42,116,404,0.52,0.31,0,0,0,529,32,0.33,0.55,429,0.11,28.22,0.77,NA,NA,NA,NA,NA,NA,NA,103,0.35,4.65,5
0,MLS-OBJ-0001IC,Evander,Da Silva Ferreira,Evander,31,MLS-CLU-000007,Cincinnati,CIN,FALSE,50:03:48,1,8,6,0,0,0,4,33,0,1,34,1,18,0,35,29,0,2,30,2,98,88,26,2,0,114,116,0.16,42,74,14,1,15,975,190,1165,0.84,83,17,100,0.83,1058,207,1265,0.84,4,10,14,0.29,28,61,89,0.31,32,71,103,0.31,979,200,1179,111,78,202,1090,278,1381,0,0,5,0,293,13,0,0,0,0,60,28,88,90,0,90,12,30,1795,6,26,32,0,0,0,0,0,0,0,0,0,0,313206.63,30.74,33,3,30,83,212,23,189,100,97,3,183,0,10,8,53,15,45,401,86.28,687,83.26,77,74.03,8.8292,9.1708,0,0,32,33,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,2744,0,32,32,1812,0,0,0,0,0,FALSE,972,924.22,47.78,15,377,0.63,0.32,0,0,0,701,6,0.49,0.57,372,0.18,59.95,0.82,NA,NA,NA,NA,NA,NA,NA,17,1.47,1.53,3
0,MLS-OBJ-0000C1,Dejan,Joveljić,NA,31,MLS-CLU-00000K,Kansas City,SKC,FALSE,50:48:11,1,9,4,0,0,0,11,31,2,4,37,0,18,0,21,13,0,0,16,2,52,41,15,14,0,56,70,0.26,62,8,2,0,2,422,148,570,0.74,91,0,91,1,513,148,661,0.78,0,0,0,0,0,0,0,0,0,0,0,0,422,148,570,91,0,91,513,148,661,0,0,7,0,226,0,5,1,6,0.83,0,0,0,1,0,1,65,91,965,40,68,108,0,0,0,0,0,0,0,0,0,0,314786.09,32.74,20,0,20,32,114,18,96,67,55,12,100,0,14,1,41,6,30,289,79.24,272,69.49,9,44.44,15.7478,2.2522,0,0,20,20,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,2767,0,32,32,969,0,0,0,0,0,FALSE,414,413.02,0.98,452,245,0.56,0.44,0,0,0,432,51,0.61,0.43,685,-0.06,-11.54,0.7,NA,NA,NA,NA,NA,NA,NA,485,-0.52,1.52,1
0,MLS-OBJ-00056O,Petar,Musa,NA,27,MLS-CLU-000005,Dallas,DAL,FALSE,42:29:54,3,11,7,0,0,0,23,39,0,0,39,2,18,0,18,27,0,1,15,1,62,52,14,14,0,66,80,0.23,65,15,6,0,6,484,220,704,0.69,30,1,31,0.97,514,221,735,0.7,4,5,9,0.44,0,0,0,0,4,5,9,0.44,488,225,713,30,1,36,518,226,749,0,0,9,1,239,6,2,1,3,0.67,1,0,1,5,0,5,22,26,1078,85,69,154,0,0,0,0,0,0,0,0,0,0,254195.88,34.38,27,3,24,29,117,13,104,72,57,15,104,0,21,0,36,5,25,271,77.12,371,67.39,62,40.32,15.6889,2.3111,0,0,24,24,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,2297,0,30,30,1091,0,0,0,0,0,FALSE,483,484.78,-1.78,629,366,0.51,0.52,0,0,0,437,49,0.59,0.5,555,0.05,10.81,0.64,NA,NA,NA,NA,NA,NA,NA,51,0.77,4.23,5
0,MLS-OBJ-0003E6,Alonso,Martínez,NA,29,MLS-CLU-000004,New York City,NYC,FALSE,45:03:51,1,13,2,0,0,0,14,6,1,0,7,0,17,0,28,23,4,5,23,3,86,91,6,6,0,97,103,0.17,75,28,1,1,2,242,83,325,0.74,13,0,13,1,255,83,338,0.75,0,1,1,0,0,0,0,0,0,1,1,0,242,84,326,13,0,14,255,84,340,0,0,3,0,177,1,5,2,7,0.71,0,0,0,0,0,0,11,12,623,7,40,47,0,0,0,0,0,0,0,0,0,0,263183.41,35.94,21,3,18,21,135,18,117,86,66,20,109,0,22,2,46,5,21,160,78.75,163,70.55,2,50,23.0316,-6.0316,0,0,18,19,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,2503,0,30,30,634,0,0,0,0,0,FALSE,239,235.1,3.9,343,144,0.57,0.45,0,0,0,328,99,0.62,0.33,735,-0.31,-48.06,0.72,NA,NA,NA,NA,NA,NA,NA,559,-1.12,3.12,2
0,MLS-OBJ-00080N,Eric Maxim,Choupo-Moting,NA,31,MLS-CLU-00000B,New York,RBNY,FALSE,50:40:24,2,8,4,0,0,0,32,30,0,3,33,1,17,0,18,9,0,2,12,3,44,34,16,11,0,50,61,0.28,53,8,4,1,5,471,152,623,0.76,42,0,42,1,513,152,665,0.77,1,3,4,0.25,0,0,0,0,1,3,4,0.25,472,155,627,42,0,42,514,155,669,0,0,4,0,284,0,5,1,6,0.83,0,0,0,3,0,3,32,39,1018,58,113,171,0,0,0,0,0,0,0,0,0,0,297954.52,32.71,23,4,19,39,108,15,93,53,44,9,91,0,12,2,35,13,32,298,79.87,319,71.79,6,66.67,14.1424,2.8576,0,0,21,22,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,2758,0,33,33,1026,0,0,0,0,0,FALSE,470,464.21,5.79,285,250,0.56,0.4,0,0,0,548,26,0.7,0.48,609,0.04,11.39,0.73,NA,NA,NA,NA,NA,NA,NA,21,1.3,0.7,2
0,MLS-OBJ-00057Y,Hugo,Cuypers,NA,33,MLS-CLU-00000F,Chicago,CHI,FALSE,51:05:20,0,14,0,0,0,0,18,30,0,2,32,2,17,0,24,16,1,0,21,2,64,44,24,12,1,69,81,0.21,75,6,2,1,3,387,130,517,0.75,12,0,12,1,399,130,529,0.75,0,5,5,0,0,0,0,0,0,5,5,0,387,135,522,12,0,14,399,135,536,0,0,18,0,262,2,3,1,4,0.75,0,0,0,0,0,0,11,12,897,51,87,138,0,0,0,0,0,0,0,0,0,0,349060,33.8,20,1,19,32,125,24,101,75,59,16,111,0,20,0,41,3,31,242,82.64,260,69.23,15,46.67,21.1665,-4.1665,0,0,19,20,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,2810,0,33,33,905,0,0,0,0,0,FALSE,385,389.32,-4.32,708,200,0.52,0.39,0,0,0,364,75,0.61,0.45,662,-0.05,-8.95,0.72,NA,NA,NA,NA,NA,NA,NA,575,-2.01,3.01,1
